Year,Player,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad_Jump,3Cone,Shuttle,School,Conf,Class,G_season,Rec_Season,Rec_Yds_Season,Rec_Avg_Season,Rec_TD_Season,Career_Rec,Career_Rec_Yds,Career_Rec_Avg,Career_Rec_TD,NFL_Years,Average_AV,AAV2
2004,Devard Darling,21,4,Washington State,73,213,4.52,37,,129,,,Washington State,Pac-10,3,13,50,830,16.6,7,106,1666,15.7,19,5,0.8,0.64
2003,Charles Rogers,21,4,Michigan State,74,202,4.4,,,,,,Michigan State,Big Ten,3,12,68,1351,19.9,13,135,2821,20.9,27,3,1.333333333,1.777777778
2003,Andre Johnson,21,125,Miami (FL),74,230,4.41,39,,132,,,Miami (FL),Big East,3,12,52,1092,21,9,92,1831,19.9,20,14,8.928571429,79.71938776
2003,Bryant Johnson,21,30,Penn State,74,214,4.57,,,,,,Penn State,Big Ten,4,13,48,917,19.1,4,110,2008,18.3,10,9,3.333333333,11.11111111
2003,Taylor Jacobs,21,2,Florida,70,205,4.42,,,,,,Florida,SEC,4,11,71,1088,15.3,8,133,2097,15.8,16,5,0.4,0.16
2003,Bethel Johnson,24,8,Texas A&M,71,201,4.38,38.5,,127,,,Texas A&M,Big 12,4,12,40,718,18,8,117,1740,14.9,11,4,2,4
2003,Anquan Boldin,22,118,Florida State,73,216,4.72,33.5,,114,7.35,4.33,Florida State,ACC,4,14,65,1011,15.6,13,118,1790,15.2,21,14,8.428571429,71.04081633
2003,Tyrone Calico,22,5,Middle Tennessee State,76,223,4.34,38,,127,6.73,4.26,Middle Tennessee State,Sun Belt,4,12,45,606,13.5,4,194,2636,13.6,17,3,1.666666667,2.777777778
2003,Teyo Johnson,21,2,Stanford,77,247,4.61,33.5,,,,,Stanford,Pac-10,2,11,41,467,11.4,8,79,1032,13.1,15,3,0.6666666667,0.4444444444
2003,Kelley Washington,23,14,Tennessee,74,223,4.42,,,,,,Tennessee,SEC,2,4,23,443,19.3,1,87,1453,16.7,6,8,1.75,3.0625
2003,Nate Burleson,21,55,Nevada,70,197,4.51,42.5,,126,6.96,4.16,Nevada,WAC,4,12,138,1629,11.8,12,248,3287,13.3,22,11,5,25
2003,Kevin Curtis,24,28,Utah State,71,186,4.42,36,,122,6.76,3.99,Utah State,Ind,4,11,74,1258,17,9,174,2789,16,19,8,3.5,12.25
2003,Billy McMullen,22,5,Virginia,76,210,4.61,,,,,,Virginia,ACC,4,14,69,894,13,3,210,2978,14.2,24,6,0.8333333333,0.6944444444
2002,Donte' Stallworth,21,45,Tennessee,70,197,4.22,,,,,,Tennessee,SEC,3,9,41,821,20,10,99,1747,17.6,13,11,4.090909091,16.73553719
2002,Ashley Lelie,22,39,Hawaii,75,197,4.49,,,,,,Hawaii,WAC,3,12,84,1713,20.4,19,194,3341,17.2,32,7,5.571428571,31.04081633
2002,Javon Walker,23,42,Florida State,75,210,4.38,39.5,,128,6.86,4.05,Florida State,ACC,4,11,45,944,21,7,65,1257,19.3,10,8,5.25,27.5625
2002,Jabar Gaffney,21,52,Florida,73,193,4.56,,,,6.87,4.06,Florida,SEC,2,11,67,1191,17.8,13,138,2375,17.2,27,11,4.727272727,22.34710744
